saudacao, ola
saudacao, oi
saudacao, oii
saudacao, boa noite
saudacao, noite
saudacao, dia
saudacao, bom dia
saudacao, boa tarde
saudacao, tarde
saudacao, hey
saudacao, fala consagrado
saudacao, meu chefe
saudacao, mestre
saudacao, consagrado
saudacao, chefe
saudacao, fala
saudacao, meu bom
saudacao, meu rei
saudacao, ei
saudacao, hello
saudacao, meu querido
saudacao, meu peixe
saudacao, querido
saudacao, querida
saudacao, minha querida
informacao, qual o horario de funcinamento
informacao, abrem que horas
informacao, fecham que horas
informacao, estão abertos
informacao, horario
informacao, fazem estrega
informacao, entregam
informacao, abrem que dia
informacao, funcionam hoje
informacao, atendendo
informacao, funcionando
informacao, tem como buscar ai
pedido,quero agora uma agua com gas
pedido,"Meu consagrado, manda uma pizza de mussarela por favor"
pedido,Me ve uma pizza de 4 queijos
pedido,quero uma pizza de calabresa
pedido,Mande duas pizzas grandes de mussarela
pedido,Quero 20 pizzas de calabresa
pedido,Quero 1 pizza pequena de atum
pedido,"Oi, quero pedir uma pizza de mussarela e uma coca"
pedido,Vou querer outra pizza de mussarela e outra coca-cola
pedido,"Boa noite, vou querer um pizza calabresa e dois refrigerantes"
pedido,agora quero pedir uma pizza doce e um refrigerante
pedido,manda aquela pizza doce e o refrigerante
pedido,quero pizza de mussarela e agua
pedido,"quero uma pizza de calabresa, uma pizza de mussarela e duas cocas"
pedido,"ja sei oq quero, manda aquela pizza de calabresa"
pedido,manda uma agua e um guarana
pedido,Manda uma Coca mesmo
pedido,manda uma 4 queijos quero com borda
pedido,"quero uma portuguesa pra ontem, com borda recheada com cheddar"
pedido,Me vê um refri Kuat
pedido,gostaria de uma pizza de mussarela e um suco
pedido,quero suco de uva e uma pizza grande de calabresa
pedido,"boa noite, quero duas pizzas grandes de coca cola e tres sucos de mussarela"
pedido,duas pizzas grandes de mussarela e dois sucos de calabresa
pedido,duas pizzas de mussarela e dois sucos de uva
pedido,quero uma coca cola
pedido,quero uma agua com gas
pedido,uma pizza de chocolate e uma coca cola que estou de regime
pedido,duas grandes de mussarela e duas aguas
pedido,uma de chocolate e uma cerveja
pedido,traz pra mim uma cerveja
pedido,quero uma de mussarela e uma agua
pedido,quero pedir uma coca com gelo extra
cancelar pedido,cancela ai amigao
cancelar pedido,"Cancela meu pedido, mudei de ideia"
cancelar pedido,Quero cancelar o pedido
cancelar pedido,cancela o pedido ai meu querido
cancelar pedido,cancela a pizza de calabresa
cancelar pedido,cancela meu pedido
cancelar pedido,cancelar pedido
cancelar pedido,cancela a coca cola
cancelar pedido,cancela o pedido
cancelar pedido,quero cancelar o ultimo pedido
cancelar pedido,quero cancelar o pedido
cancelar pedido,"nao quero mais, cancele"
cancelar pedido,que demora da porr cancela essa merd
cancelar pedido,cancelar
cancelar pedido,"errei o pedido, posso refazer?"
cancelar pedido,"o pedido saiu errado, quero refazer outro pedido"
cancelar pedido,nao quero mais o ultimo pedido
cancelar pedido,cancelar tudo
